variety	type	value	image	leaf
Almeria	table	K0130A1	K0130A	Leaf1
Almeria	table	K0130A2	K0130A	Leaf2
Almeria	table	K0130B3	K0130B	Leaf3
Almeria	table	K0130B4	K0130B	Leaf4
Black_corinth	table	K0915A1	K0915A	Leaf1
Black_corinth	table	K0915A2	K0915A	Leaf2
Black_corinth	table	K0915B3	K0915B	Leaf3
Black_corinth	table	K0915B4	K0915B	Leaf4
Calmeria	table	K0133A1	K0133A	Leaf1
Calmeria	table	K0133A2	K0133A	Leaf2
Calmeria	table	K0133B3	K0133B	Leaf3
Calmeria	table	K0133B4	K0133B	Leaf4
Cardinal	table	K0452A1	K0452A	Leaf1
Cardinal	table	K0452A2	K0452A	Leaf2
Cardinal	table	K0452A3	K0452A	Leaf3
Cardinal	table	K0452B4	K0452B	Leaf4
Chasselas_cioutat	table	K1163A1	K1163A	Leaf1
Chasselas_cioutat	table	K1163A2	K1163A	Leaf2
Chasselas_cioutat	table	K1164A3	K1164A	Leaf3
Chasselas_cioutat	table	K1164A4	K1164A	Leaf4
Chasselas_doré	table	K1037A1	K1037A	Leaf1
Chasselas_doré	table	K1037A2	K1037A	Leaf2
Chasselas_doré	table	K1037B3	K1037B	Leaf3
Chasselas_doré	table	K1037B4	K1037B	Leaf4
Cornichon	table	K0463A1	K0463A	Leaf1
Cornichon	table	K0463B2	K0463B	Leaf2
Cornichon	table	K0463B3	K0463B	Leaf3
Cornichon	table	K0463C4	K0463C	Leaf4
Dabouki	table	K0471A1	K0471A	Leaf1
Dabouki	table	K0471A2	K0471A	Leaf2
Dabouki	table	K0471B3	K0471B	Leaf3
Dabouki	table	K0471B4	K0471B	Leaf4
Dattier	table	K1523B1	K1523B	Leaf1
Dattier	table	K1524A2	K1524A	Leaf2
Dattier	table	K1524A3	K1524A	Leaf3
Dattier	table	K1524B4	K1524B	Leaf4
Emperor	table	K0505A1	K0505A	Leaf1
Emperor	table	K0505A2	K0505A	Leaf2
Emperor	table	K0505B3	K0505B	Leaf3
Emperor	table	K0505C4	K0505C	Leaf4
Flame_tokay	table	K1573A1	K1573A	Leaf1
Flame_tokay	table	K1573A2	K1573A	Leaf2
Flame_tokay	table	K1573B3	K1573B	Leaf3
Flame_tokay	table	K1573B4	K1573B	Leaf4
Italia	table	K1166A1	K1166A	Leaf1
Italia	table	K1166A2	K1166A	Leaf2
Italia	table	K1166A3	K1166A	Leaf3
Italia	table	K1166A4	K1166A	Leaf4
Muscat_hamburg	table	K0911A1	K0911A	Leaf1
Muscat_hamburg	table	K0911A2	K0911A	Leaf2
Muscat_hamburg	table	K0911B3	K0911B	Leaf3
Muscat_hamburg	table	K0911B4	K0911B	Leaf4
Muscat_of_alexandria	table	L0740A1	L0740A	Leaf1
Muscat_of_alexandria	table	L0740A2	L0740A	Leaf2
Muscat_of_alexandria	table	L0740B3	L0740B	Leaf3
Muscat_of_alexandria	table	L0740B4	L0740B	Leaf4
Olivette_blanche	table	K0629A1	K0629A	Leaf1
Olivette_blanche	table	K0629A2	K0629A	Leaf2
Olivette_blanche	table	K0629B3	K0629B	Leaf3
Olivette_blanche	table	K0629B4	K0629B	Leaf4
Olivette_noire	table	K0951A1	K0951A	Leaf1
Olivette_noire	table	K0951A2	K0951A	Leaf2
Olivette_noire	table	K0951B3	K0951B	Leaf3
Olivette_noire	table	K0951B4	K0951B	Leaf4
Perla_di_csaba	table	K0641A1	K0641A	Leaf1
Perla_di_csaba	table	K0641A2	K0641A	Leaf2
Perla_di_csaba	table	K0641B3	K0641B	Leaf3
Perla_di_csaba	table	K0641B4	K0641B	Leaf4
Perlette	table	K0644A1	K0644A	Leaf1
Perlette	table	K0644A2	K0644A	Leaf2
Perlette	table	K0644B3	K0644B	Leaf3
Perlette	table	K0644C4	K0644C	Leaf4
