	Alicante_bouschet	Aligot	Almeria	Aramon	Bclan	Black_corinth	Burger	Cabernet_franc	Cabernet_sauvignon	Calmeria	Cardinal	Carignane	Chardonnay	Chasselas_cioutat	Chasselas_dor	Chenin_blanc	Cinsaut	Clairette_blanche	Colombard	Cornichon	Dabouki	Dattier	Durif	Emperor	Flame_tokay	Folle_blanche	Gamay_noir	Gewrtztraminer	Grand_noir	Grenache	Italia	Malbec	Mataro	Melon	Merlot	Meunier	Mller-Thurgau	Mondeuse	Muscat_blanc	Muscat_hamburg	Muscat_of_alexandria	Olivette_blanche	Olivette_noire	Perla_di_csaba	Perlette	Pinot_noir	Ribier	Saint_milion	Sauvignon_blanc	Sauvignon_vert	Smillon	Sylvaner	Syrah	Tannat	Terret_gris	Thompson_seedless	Traminer	Truosseau	White_riesling	Zinfandel
Alicante_bouschet	0	0.098196375	0.079377528	0.140030892	0.105041405	0.064936517	0.138021948	0.10136635	0.152986356	0.116732531	0.079109756	0.131209818	0.113228183	0.306445381	0.135515639	0.121489285	0.103990063	0.080891184	0.135446463	0.105074695	0.095957844	0.054804104	0.119584155	0.11004546	0.093060259	0.113300635	0.166898254	0.125615534	0.104508487	0.155184473	0.116889563	0.079517539	0.111054755	0.070937264	0.118489045	0.11339302	0.164833496	0.082795916	0.075871419	0.099448083	0.13113648	0.081508597	0.099443234	0.119134506	0.100791416	0.081787766	0.075173214	0.121095469	0.112206032	0.130517504	0.103124848	0.127575768	0.117941919	0.079908749	0.101853491	0.103302102	0.081249956	0.103479531	0.10424383	0.243268454
Aligot	0.098196375	0	0.154435814	0.110151403	0.170851371	0.093767031	0.207788732	0.164898173	0.190583429	0.105018982	0.116082371	0.154636801	0.059110754	0.347928323	0.189126504	0.138508166	0.147027229	0.144905559	0.106243568	0.161747899	0.157094981	0.070029916	0.162154908	0.17390063	0.074359758	0.174324979	0.211760994	0.178240009	0.159847344	0.164209101	0.181384787	0.088828276	0.156676325	0.067814742	0.14255	0.180524707	0.206058422	0.134281683	0.133667178	0.147109302	0.188501766	0.147359337	0.144213475	0.083067726	0.094456197	0.076320703	0.106340082	0.155151697	0.132511377	0.079971986	0.133108757	0.103455628	0.156259482	0.090060449	0.144851458	0.110284188	0.087948165	0.092706277	0.164880833	0.26317773
Almeria	0.079377528	0.154435814	0	0.185600084	0.071151717	0.114660331	0.107825473	0.080109985	0.125620503	0.146544538	0.102938271	0.123082254	0.159234871	0.261366661	0.093570389	0.121902363	0.090685855	0.058949464	0.163615706	0.075805218	0.075227208	0.109221734	0.096802142	0.088691409	0.13740873	0.101379929	0.128945223	0.156813847	0.090972332	0.157105997	0.089482802	0.129747788	0.118804403	0.130188629	0.116116993	0.077984556	0.138063034	0.090845688	0.056578641	0.092712465	0.085285598	0.083664654	0.088921388	0.17176744	0.143228768	0.140087691	0.085245487	0.106097887	0.107464127	0.178294484	0.114273395	0.182892522	0.099952234	0.12139454	0.088591385	0.133923738	0.143585812	0.164832341	0.106884492	0.216910088
Aramon	0.140030892	0.110151403	0.185600084	0	0.185236306	0.162105688	0.218794512	0.178980114	0.181627841	0.087515072	0.131130285	0.157502555	0.084938401	0.355917826	0.205123774	0.135476423	0.150243074	0.182750726	0.073275648	0.167599812	0.177580063	0.11178291	0.173717506	0.180566918	0.097602034	0.203817156	0.220740882	0.221283051	0.153031135	0.140760136	0.204470052	0.105515654	0.144014111	0.09746892	0.130715198	0.20321099	0.210270224	0.128369265	0.157967342	0.14496083	0.207570156	0.167777633	0.140728415	0.092908656	0.10417115	0.110958186	0.136680182	0.139407522	0.14693226	0.055851043	0.121243419	0.082449784	0.158207424	0.107599413	0.160123263	0.121550565	0.126298103	0.094237191	0.193146847	0.246414512
Bclan	0.105041405	0.170851371	0.071151717	0.185236306	0	0.135593098	0.099640093	0.064132388	0.099689771	0.145527565	0.105366816	0.116108478	0.16753596	0.248031151	0.073975229	0.122287609	0.096678831	0.07099649	0.169957326	0.061192841	0.060551451	0.121415069	0.080453115	0.084727241	0.145725567	0.089416469	0.097894811	0.16192244	0.092523092	0.161301074	0.081479861	0.134695984	0.110457438	0.136569765	0.100476549	0.072878267	0.112368609	0.090342069	0.077842315	0.098115403	0.065034468	0.07967599	0.077776355	0.174232313	0.146729114	0.144148936	0.092720713	0.097933261	0.11061605	0.183372667	0.102543161	0.187841228	0.093307787	0.129065639	0.082190426	0.136513942	0.154100667	0.170965501	0.113152545	0.19375342
Black_corinth	0.064936517	0.093767031	0.114660331	0.162105688	0.135593098	0	0.165952821	0.132505724	0.180211876	0.145065464	0.102367394	0.152059585	0.129338249	0.32358847	0.167694879	0.151124677	0.134886589	0.10344753	0.160847703	0.139266362	0.122285616	0.070235939	0.143961666	0.144889678	0.1136004	0.133501644	0.191816734	0.12375121	0.142124378	0.187396056	0.140866994	0.101411775	0.153323078	0.087687326	0.147259798	0.140648735	0.187037254	0.129264332	0.109449312	0.144820938	0.158043229	0.116409219	0.137006429	0.121787818	0.127357586	0.098836175	0.105035783	0.159067859	0.138158933	0.146104144	0.13343101	0.137142423	0.151192762	0.111352193	0.137359666	0.132496803	0.091775826	0.109075949	0.114879142	0.260688297
Burger	0.138021948	0.207788732	0.107825473	0.218794512	0.099640093	0.165952821	0	0.095570338	0.143256762	0.179273529	0.111426245	0.173418119	0.207829766	0.224843558	0.10763308	0.168355189	0.115943313	0.121612409	0.201463289	0.101773295	0.096671885	0.157209374	0.103186989	0.14470299	0.181283512	0.09220486	0.158499438	0.168591164	0.117983168	0.203594651	0.116054403	0.155607171	0.128104159	0.177780175	0.15390708	0.090302909	0.176830116	0.123467345	0.1109988	0.118442707	0.123144766	0.10143157	0.138122389	0.20624725	0.198914802	0.177821312	0.144513409	0.143169259	0.161821713	0.218486651	0.115070876	0.221254845	0.1039358	0.151597319	0.127125955	0.182316281	0.17407582	0.208754237	0.161541408	0.244702765
Cabernet_franc	0.10136635	0.164898173	0.080109985	0.178980114	0.064132388	0.132505724	0.095570338	0	0.095033226	0.140200455	0.09853774	0.116588941	0.164468411	0.261448633	0.061753261	0.111898003	0.100669775	0.071453847	0.164656076	0.070913962	0.037050676	0.119373764	0.06819447	0.076440137	0.1486228	0.068442422	0.105119491	0.139037288	0.072391586	0.153962573	0.059469322	0.119932032	0.083810278	0.12640949	0.100990314	0.066258663	0.107172767	0.075997918	0.08695387	0.096297094	0.083709713	0.067057106	0.091281308	0.160680699	0.146442235	0.130585981	0.089352287	0.092457713	0.105833319	0.182707405	0.101313831	0.181110866	0.095257725	0.122444126	0.081032905	0.134834413	0.13687531	0.168385213	0.104885154	0.203469846
Cabernet_sauvignon	0.152986356	0.190583429	0.125620503	0.181627841	0.099689771	0.180211876	0.143256762	0.095033226	0	0.154744384	0.130844716	0.07778065	0.178229305	0.262498207	0.091735776	0.103985007	0.098307124	0.114153937	0.157398456	0.096489085	0.096507822	0.150791956	0.086471571	0.109975042	0.167456468	0.142073204	0.083443069	0.212390933	0.092833557	0.134331007	0.11933153	0.161059279	0.129240131	0.155686716	0.075975292	0.121588084	0.088511566	0.114541186	0.117600239	0.133713427	0.086071732	0.132777708	0.096842471	0.177594067	0.158976101	0.176697332	0.113157846	0.07851404	0.102651729	0.189527233	0.126262222	0.188007907	0.114609312	0.155348286	0.098432101	0.169277353	0.191871504	0.185781032	0.143003036	0.122634416
Calmeria	0.116732531	0.105018982	0.146544538	0.087515072	0.145527565	0.145065464	0.179273529	0.140200455	0.154744384	0	0.110821534	0.144271365	0.074607692	0.302905347	0.153680911	0.1067949	0.121530308	0.143935489	0.074841493	0.125957902	0.135733686	0.090613041	0.130788153	0.149971535	0.070845294	0.161546413	0.184169961	0.200264541	0.122402478	0.120807157	0.161990226	0.094553911	0.10530726	0.095927849	0.108474433	0.158215124	0.18514153	0.096979443	0.119076983	0.101869284	0.165375507	0.124707292	0.106252656	0.108904433	0.091097783	0.093088565	0.094889258	0.106768275	0.111448158	0.081389699	0.090847942	0.128058896	0.105765584	0.075955152	0.115039243	0.077402134	0.115268768	0.124955801	0.182447515	0.231978718
